"month","date_of_month","mean_births"
6,25,11444
6,26,11426.3333333333
6,27,11632.9047619048
6,28,11597.0952380952
6,29,11386.5238095238
6,30,11579.9047619048
7,1,11897.4761904762
7,2,11874.7619047619
7,3,11352.2857142857
7,4,8824.52380952381
7,5,10442.0952380952
7,6,11521.5238095238
7,7,12147.3333333333
7,8,11979.6666666667
7,9,11810.1428571429
7,10,11787.380952381
7,11,11847.380952381
7,12,11608.619047619
7,13,11214.5714285714
7,14,11716.2380952381
7,15,11793.5238095238
7,16,11808.1428571429
7,17,11770.2857142857
7,18,11820
7,19,11588.380952381
7,20,11465.6666666667
7,21,11701.1904761905
7,22,11726.5714285714
7,23,11744.1428571429
7,24,11653.9047619048
7,25,11803.0476190476
7,26,11617.2380952381
7,27,11447.4761904762
7,28,11645.1428571429
7,29,11626.9523809524
7,30,11642.4285714286
7,31,11564
8,1,11824.380952381
8,2,11628.619047619
8,3,11367.3333333333
8,4,11604.5714285714
8,5,11649.8095238095
8,6,11629.8571428571
8,7,11637.8571428571
8,8,12005.8095238095
8,9,11761.5714285714
8,10,11527.380952381
8,11,11644.380952381
8,12,11790.2857142857
8,13,11512.380952381
8,14,11743.8571428571
8,15,11973.7142857143
8,16,11830.9523809524
8,17,11587.6666666667
8,18,11718.619047619
8,19,11676.8095238095
8,20,11825.4285714286
8,21,11696.9047619048
8,22,11875.1428571429
8,23,11696
8,24,11488.8571428571
8,25,11615.4761904762
8,26,11657
8,27,11781.9523809524
8,28,11909.619047619
8,29,11977.0952380952
8,30,11845.7142857143
8,31,11592.380952381
9,1,10962.6666666667
9,2,11042.2380952381
9,3,11163.0476190476
9,4,11266.7619047619
9,5,11488.7619047619
9,6,11342.5238095238
9,7,11436.5238095238
9,8,12028.8095238095
9,9,12344.1904761905
9,10,12190.0476190476
9,11,11561.1904761905
9,12,12281.5714285714
9,13,11850.0476190476
9,14,11918.1904761905
9,15,12126.2857142857
9,16,12113.9523809524
9,17,12201.4761904762
9,18,12111.9047619048
9,19,12284.8095238095
9,20,12161.5238095238
9,21,11856.0952380952
9,22,11960.380952381
9,23,12017.2380952381
9,24,11993
9,25,11921.3333333333
9,26,12047.3333333333
9,27,11906.1428571429
9,28,11594.0952380952
9,29,11613.4761904762
9,30,11531.4761904762
10,1,11771.2380952381
10,2,11631.9523809524
10,3,11726.8095238095
10,4,11531.6666666667
10,5,11312.3333333333
10,6,11370.619047619
10,7,11364
10,8,11353.1428571429
10,9,11189.380952381
10,10,11613.4761904762
10,11,11311
10,12,11048.0476190476
10,13,10799.619047619
10,14,11189.380952381
10,15,11307.5714285714
10,16,11167.0476190476
10,17,11351.1428571429
10,18,11195.5714285714
10,19,10888.2857142857
10,20,11108.6666666667
10,21,11097.3333333333
10,22,11203.2380952381
10,23,11099.9523809524
10,24,11327.6666666667
10,25,11229.6666666667
10,26,10968.2380952381
10,27,11067.7619047619
10,28,11142
10,29,11056.4285714286
10,30,10871.6666666667
10,31,10029.9523809524
11,1,11400.9047619048
11,2,11128.0952380952
11,3,11168.7142857143
11,4,11172.380952381
11,5,11238.7619047619
11,6,11135.8095238095
11,7,11358.1904761905
11,8,11228.1904761905
11,9,10965.0476190476
11,10,11074.9523809524
11,11,11181.619047619
11,12,11122.9047619048
11,13,10797.1428571429
11,14,11297.4761904762
11,15,11277.9523809524
11,16,11063.2380952381
11,17,11171.0476190476
11,18,11217.1428571429
11,19,11298.2380952381
11,20,11503.380952381
11,21,11625.3333333333
11,22,10708.8095238095
11,23,9919.09523809524
11,24,10053.1904761905
11,25,10001
11,26,10092.1428571429
11,27,9769.71428571429
11,28,10140.5238095238
11,29,10808.9523809524
11,30,10897.8095238095
12,1,11293.3333333333
12,2,11237.619047619
12,3,11194.1428571429
12,4,11037.7619047619
12,5,11189.8095238095
12,6,11004
12,7,10782.8095238095
12,8,10932
12,9,10892.5238095238
12,10,11004.1428571429
12,11,10943.6666666667
12,12,11505.4761904762
12,13,10902.8095238095
12,14,10993.2857142857
12,15,11232.4761904762
12,16,11395.2857142857
12,17,11539.2857142857
12,18,11735.9047619048
12,19,11997.5238095238
12,20,12064.4761904762
12,21,11726.7142857143
12,22,11432.2857142857
12,23,10383.380952381
12,24,8103.14285714286
12,25,6601.33333333333
12,26,9598.90476190476
12,27,11724.4761904762
12,28,11901
12,29,12003.9047619048
12,30,11932.2380952381
12,31,10433.380952381
